LPS|GNFR|E-PRTR/PRTR Facility ID|Height class|Longitude (deg)|Latitude (deg)|NOx (as NO2) (kt)|NMVOC (kt)|SOx (as SO2) (kt)|NH3 (kt)|PM2.5 (kt)|PM10 (kt)|CO (kt)|Pb (t)|Cd (t)|Hg (t)|PCDD/ PCDF (dioxins/ furans)(g I-Teq)|PAHs (t)|HCB (kg)|PCBs (kg)
Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG; AZ I - Hähnchenmast|K_AgriLivestock|14-82-56202720003|1|12,51498672205|51,3925323639866||||0,0107||||||||||
Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co. KG; AZ II-Hähnchenmast|K_AgriLivestock|14-82-56202720002|1|12,5207739004848|51,3963694261545||||0,0107||||||||||
Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co.KG|K_AgriLivestock|10643|1|11,7338360898479|51,4385786249257||||0,031||||||||||
Agrar Handelsgesellschaft Salzfurtkapelle mbH & Co.KG, Hähnchenmast Lampertswalde|K_AgriLivestock|14-82-00023380000|1|13,0409782617435|51,3554399190841||||0,0106||||||||||
Agrar e.G. Waltershausen|K_AgriLivestock|16-78-41300000003|1|10,5962178154928|50,9218708817316||||0,0613||||||||||
Agrarbetrieb Todendorf eG|K_AgriLivestock|13-30-223|1|12,5765085006392|53,8278664082538||||0,0323||||||||||
Agrargenosschenschaft Pretzsch e.G. Agrargenossenschaft Rackith e.G.|K_AgriLivestock|10382|1|12,7554258872787|51,7272105220708||||0,0116||||||||||
"Agrargenossenschaft ""Ländeken"" Meinsdorf eG Agrargenossenschaft ""Ländeken"" Meinsdorf eG"|K_AgriLivestock|12-50720180000|1|13,2655646140655|51,8515814447838||||0,0124||||||||||
Agrargenossenschaft Abtsbessingen e.G.|K_AgriLivestock|16-82-75293870002|1|10,7626597994566|51,2567774980799||||0,0113||||||||||
Agrargenossenschaft Elbeland e.G. Scharlibbe|K_AgriLivestock|10288|1|12,0632012269191|52,6977814487579||||0,0227||||||||||
Agrargenossenschaft Kropstädt e.G., Abtsdorf|K_AgriLivestock|10340|1|12,7103002259319|51,8953810512179||||0,0335||||||||||
Agrargenossenschaft Mühlanger e.G.|K_AgriLivestock|10366|1|12,7824166689234|51,865258079098||||0,0109||||||||||
Agrargenossenschaft e.G. Günthersdorf|K_AgriLivestock|12-30671270000|1|14,3022766068734|52,0859631337648||||0,0114||||||||||
Agrarprodukte Frankenförde GmbH & Co. KG|K_AgriLivestock|12-50722150000|1|13,0497681401305|52,1132651670376||||0,0253||||||||||
